"Apply For Jobs","This functionality is used for students to apply"
"","for jobs."
"Post Jobs / Add Job Details","This functionality is used by the company to post"
"","jobs."
"View Job Status","This functionality is used to view job status by"
"","the student."
"Search Jobs","This is the functionality which is used to search"
"","for jobs."
"Manage Student","This functionality is used by the admin to manage"
"","student."
"Manage Company","This functionality is used by the admin to manage"
"","company."
"View Student Application","This functionality is used to view student"
"","student application."
